Стоимость производства
Время на 1 ПУ,Время на партию,Стоимость 1 ПУ,Стоимость на партию
"Автоматический поверхностный монтаж SMT Pri, переналадка",3 c,2 ч,10 руб,27470 руб
Автоматический поверхностный монтаж SMT Pri,6 c,5 ч,26 руб,76615 руб
"Автоматический поверхностный монтаж SMT Sec, переналадка",3 c,2 ч,10 руб,27470 руб
Автоматический поверхностный монтаж SMT Sec,15 c,12 ч,62 руб,183876 руб
Ремонт на поверхностном монтаже,48 с,40 ч,14 руб,40920 руб
Контроль на поверхностном монтаже,5 с,4 ч,2 руб,4140 руб
"Волновая пайка, переналадка",4 c,3 ч,5 руб,14235 руб
Волновая пайка,9 c,7 ч,12 руб,35419 руб
Ремонт на волновой пайке,24 с,20 ч,7 руб,20460 руб
Контроль на волновой пайке,3 с,2 ч,1 руб,2070 руб
"Селективная лакировка HRL, переналадка",3 c,2 ч,2 руб,5648 руб
Селективная лакировка HRL,40 c,33 ч,32 руб,93192 руб
Ремонт на селективной лакировке,90 с,75 ч,26 руб,76725 руб
Контроль на селективной лакировке,10 с,8 ч,3 руб,8280 руб
Ручной монтаж,141 c,117 ч,40 руб,119691 руб
Контроль ручного монтажа,21 с,17 ч,6 руб,17595 руб
Тестирование,15 с,12 ч,5 руб,12420 руб
Отмывка,115 c,96 ч,30 руб,88512 руб
Контроль после отмывки,83 c,69 ч,31 руб,90475 руб
Ручная лакировка,6 с,5 ч,2 руб,5175 руб
Контроль ручной лакировки,45 c,38 ч,17 руб,50008 руб
Итого,689 с,569 ч,343 руб,1000396 руб
Итого с подготовкой производства,689 с,569 ч,378 руб,1105556 руб

Стоимость подготовки производства
,Стоимость
Трафареты,100000 руб
Проверка документации,1500 руб
Создание EBOM,3660 руб
Итого,105160 руб
