Заказчик:,Invetec2
Изделие:,2HDD BP_31817
Партия:,3000

Стоимость подготовки производства
,Стоимость
Трафареты,100000 руб
Проверка документации,1500 руб
Создание EBOM,3660 руб
Итого,105160 руб

Стоимость производства
Время на 1 ПУ,Время на партию,Стоимость 1 ПУ,Стоимость на партию
"Автоматический поверхностный монтаж SMT Pri, переналадка",3 c,2 ч,10 руб,27470 руб
Автоматический поверхностный монтаж SMT Pri,6 c,5 ч,26 руб,76615 руб
"Автоматический поверхностный монтаж SMT Sec, переналадка",3 c,2 ч,10 руб,27470 руб
Автоматический поверхностный монтаж SMT Sec,15 c,12 ч,62 руб,183876 руб
Ремонт на поверхностном монтаже,48 с,40 ч,14 руб,40920 руб
Контроль на поверхностном монтаже,5 с,4 ч,2 руб,4140 руб
"Селективная пайка THT Pri, переналадка",2 c,1 ч,1 руб,2638 руб
Селективная пайка THT Pri,16 c,13 ч,22 руб,64688 руб
"Селективная пайка THT Sec, переналадка",2 c,1 ч,1 руб,2638 руб
Селективная пайка THT Sec,16 c,13 ч,22 руб,64688 руб
Ремонт на cелективной пайке THT,16 с,13 ч,5 руб,13299 руб
Контроль на cелективной пайке THT,3 с,2 ч,1 руб,2070 руб
"Волновая пайка, переналадка",4 c,3 ч,5 руб,14235 руб
Волновая пайка,9 c,7 ч,12 руб,35419 руб
Ремонт на волновой пайке,24 с,20 ч,7 руб,20460 руб
Контроль на волновой пайке,3 с,2 ч,1 руб,2070 руб
"Селективная лакировка HRL, переналадка",2 c,1 ч,1 руб,2824 руб
Селективная лакировка HRL,21 c,17 ч,17 руб,48008 руб
Ремонт на селективной лакировке,90 с,75 ч,26 руб,76725 руб
Контроль на селективной лакировке,10 с,8 ч,3 руб,8280 руб
Ручной монтаж,161 c,134 ч,46 руб,137082 руб
Контроль ручного монтажа,21 с,17 ч,6 руб,17595 руб
Тестирование,17 с,14 ч,5 руб,14490 руб
Отмывка,115 c,96 ч,30 руб,88512 руб
Контроль после отмывки,42 c,35 ч,16 руб,45245 руб
Ручная лакировка,6 с,5 ч,2 руб,5175 руб
Контроль ручной лакировки,3 c,3 ч,2 руб,3948 руб
Разделение,52 c,57 ч,29 руб,85956 руб
Рентгенконтроль,9 c,8 ч,4 руб,10553 руб
Итого,724 с,610 ч,388 руб,1127089 руб
Итого с подготовкой производства,724 с,610 ч,423 руб,1232249 руб
