Заказчик:,Фортин
Изделие:,Drive Unit
Партия:,500

Стоимость подготовки производства
,Стоимость
Трафареты,30000 руб
Проверка документации,1500 руб
Создание EBOM,1260 руб
Итого,32760 руб

Стоимость производства
Время на 1 ПУ,Время на партию,Стоимость 1 ПУ,Стоимость на партию
"Автоматический поверхностный монтаж SMT Pri, переналадка",8 c,1 ч,28 руб,13735 руб
Автоматический поверхностный монтаж SMT Pri,15 c,2 ч,62 руб,30646 руб
"Автоматический поверхностный монтаж SMT Sec, переналадка",8 c,1 ч,28 руб,13735 руб
Автоматический поверхностный монтаж SMT Sec,8 c,1 ч,31 руб,15323 руб
Ремонт на поверхностном монтаже,51 с,7 ч,15 руб,7161 руб
Контроль на поверхностном монтаже,8 с,1 ч,3 руб,1035 руб
"Селективная пайка THT Pri, переналадка",8 c,1 ч,6 руб,2638 руб
Селективная пайка THT Pri,8 c,1 ч,10 руб,4744 руб
"Селективная пайка THT Sec, переналадка",8 c,1 ч,6 руб,2638 руб
Селективная пайка THT Sec,8 c,1 ч,11 руб,5032 руб
Ремонт на cелективной пайке THT,22 с,3 ч,7 руб,3069 руб
Контроль на cелективной пайке THT,8 с,1 ч,3 руб,1035 руб
Ручной монтаж,87 c,12 ч,25 руб,12276 руб
Тестирование,15 с,2 ч,5 руб,2070 руб
Разделение,5 c,1 ч,4 руб,1508 руб
Итого,267 с,36 ч,244 руб,116645 руб
Итого с подготовкой производства,267 с,36 ч,309 руб,149405 руб
