Заказчик:,Элемент-Технологии
Изделие:,Плата силовая
Партия:,100

Стоимость подготовки производства
,Стоимость
Трафареты,60000 руб
Проверка документации,1500 руб
Создание EBOM,9060 руб
Итого,70560 руб

Стоимость производства
Время на 1 ПУ,Время на партию,Стоимость 1 ПУ,Стоимость на партию
"Автоматический поверхностный монтаж SMT Pri, переналадка",72 c,2 ч,275 руб,27470 руб
Автоматический поверхностный монтаж SMT Pri,72 c,2 ч,307 руб,30646 руб
"Автоматический поверхностный монтаж SMT Sec, переналадка",108 c,3 ч,413 руб,41205 руб
Автоматический поверхностный монтаж SMT Sec,72 c,2 ч,307 руб,30646 руб
Ремонт на поверхностном монтаже,72 с,2 ч,21 руб,2046 руб
Контроль на поверхностном монтаже,36 с,1 ч,11 руб,1035 руб
"Селективная пайка THT Pri, переналадка",36 c,1 ч,27 руб,2638 руб
Селективная пайка THT Pri,72 c,2 ч,63 руб,6290 руб
"Селективная пайка THT Sec, переналадка",36 c,1 ч,27 руб,2638 руб
Селективная пайка THT Sec,36 c,1 ч,22 руб,2157 руб
Ремонт на cелективной пайке THT,36 с,1 ч,11 руб,1023 руб
Контроль на cелективной пайке THT,36 с,1 ч,11 руб,1035 руб
Ручной монтаж,72 c,2 ч,21 руб,2046 руб
Тестирование,36 с,1 ч,11 руб,1035 руб
Разделение,27 c,1 ч,16 руб,1508 руб
Cебестоимость,819 с,23 ч,1543 руб,153418 руб
Cебестоимость с подготовкой производства,819 с,23 ч,2248 руб,223978 руб
Итого с подготовкой производства без НДС,819 с,23 ч,2922 руб,291171 руб
Итого с подготовкой производства,819 с,23 ч,3506 руб,349405 руб
