Заказчик:,Энергосервис
Изделие:,RJ_AddPort_ver.5.2
Партия:,3850

Стоимость подготовки производства
,Стоимость
Трафареты,30000 руб
Проверка документации,1500 руб
Создание EBOM,2820 руб
Итого,34320 руб

Стоимость производства
Время на 1 ПУ,Время на партию,Стоимость 1 ПУ,Стоимость на партию
"Автоматический поверхностный монтаж SMT Pri, переналадка",1 c,1 ч,4 руб,13735 руб
Автоматический поверхностный монтаж SMT Pri,4 c,4 ч,16 руб,61292 руб
"Автоматический поверхностный монтаж SMT Sec, переналадка",1 c,1 ч,4 руб,13735 руб
Автоматический поверхностный монтаж SMT Sec,2 c,2 ч,8 руб,30646 руб
Ремонт на поверхностном монтаже,49 с,52 ч,14 руб,53196 руб
Контроль на поверхностном монтаже,5 с,5 ч,2 руб,5175 руб
"Селективная пайка THT Pri, переналадка",1 c,1 ч,1 руб,2638 руб
Селективная пайка THT Pri,8 c,8 ч,10 руб,36944 руб
"Селективная пайка THT Sec, переналадка",1 c,1 ч,1 руб,2638 руб
Селективная пайка THT Sec,9 c,9 ч,12 руб,42486 руб
Ремонт на cелективной пайке THT,16 с,17 ч,5 руб,17391 руб
Контроль на cелективной пайке THT,3 с,3 ч,1 руб,3105 руб
Контроль после отмывки,66 c,71 ч,25 руб,92884 руб
Ручная лакировка,16 с,17 ч,5 руб,17595 руб
Разделение,13 c,16 ч,7 руб,24128 руб
Cебестоимость,195 с,208 ч,115 руб,417588 руб
Cебестоимость с подготовкой производства,195 с,208 ч,123 руб,451908 руб
Итого с подготовкой производства без НДС,195 с,208 ч,159 руб,587480 руб
Итого с подготовкой производства,195 с,208 ч,190 руб,704976 руб
