Заказчик:,Энергосервис
Изделие:,RJ_Full_ver.5.2
Партия:,1500

Стоимость подготовки производства
,Стоимость
Трафареты,0 руб
Проверка документации,1500 руб
Создание EBOM,2820 руб
Итого,4320 руб

Стоимость производства
Время на 1 ПУ,Время на партию,Стоимость 1 ПУ,Стоимость на партию
"Автоматический поверхностный монтаж SMT Pri, переналадка",3 c,1 ч,10 руб,13735 руб
Автоматический поверхностный монтаж SMT Pri,8 c,3 ч,31 руб,45969 руб
"Автоматический поверхностный монтаж SMT Sec, переналадка",3 c,1 ч,10 руб,13735 руб
Автоматический поверхностный монтаж SMT Sec,3 c,1 ч,11 руб,15323 руб
Ремонт на поверхностном монтаже,24 с,10 ч,7 руб,10230 руб
Контроль на поверхностном монтаже,3 с,1 ч,1 руб,1035 руб
"Селективная пайка THT Pri, переналадка",3 c,1 ч,2 руб,1979 руб
Селективная пайка THT Pri,10 c,4 ч,13 руб,19205 руб
"Селективная пайка THT Sec, переналадка",3 c,1 ч,2 руб,1979 руб
Селективная пайка THT Sec,12 c,5 ч,17 руб,24487 руб
Ремонт на cелективной пайке THT,0 с,0 ч,0 руб,0 руб
Контроль на cелективной пайке THT,0 с,0 ч,0 руб,0 руб
Контроль после отмывки,110 c,46 ч,41 руб,60313 руб
Ручная лакировка,17 с,7 ч,5 руб,7245 руб
Разделение,20 c,10 ч,11 руб,15080 руб
Cебестоимость,219 с,91 ч,161 руб,230315 руб
Cебестоимость с подготовкой производства,219 с,91 ч,163 руб,234635 руб
Итого с подготовкой производства без НДС,219 с,91 ч,211 руб,305025 руб
Итого с подготовкой производства,219 с,91 ч,253 руб,366030 руб
