Заказчик:,Энергосервис
Изделие:,UP_W5500_Full_ver.5.2
Партия:,1500

Стоимость подготовки производства
,Стоимость
Трафареты,0 руб
Проверка документации,1500 руб
Создание EBOM,5400 руб
Итого,6900 руб

Стоимость производства
Время на 1 ПУ,Время на партию,Стоимость 1 ПУ,Стоимость на партию
"Автоматический поверхностный монтаж SMT Pri, переналадка",3 c,1 ч,10 руб,13735 руб
Автоматический поверхностный монтаж SMT Pri,5 c,2 ч,21 руб,30646 руб
"Автоматический поверхностный монтаж SMT Sec, переналадка",3 c,1 ч,10 руб,13735 руб
Автоматический поверхностный монтаж SMT Sec,5 c,2 ч,21 руб,30646 руб
Ремонт на поверхностном монтаже,48 с,20 ч,14 руб,20460 руб
Контроль на поверхностном монтаже,5 с,2 ч,2 руб,2070 руб
"Селективная пайка THT Pri, переналадка",3 c,1 ч,2 руб,2638 руб
Селективная пайка THT Pri,10 c,4 ч,14 руб,19686 руб
"Селективная пайка THT Sec, переналадка",3 c,1 ч,2 руб,2638 руб
Селективная пайка THT Sec,10 c,4 ч,14 руб,19686 руб
Ремонт на cелективной пайке THT,17 с,7 ч,5 руб,7161 руб
Контроль на cелективной пайке THT,3 с,1 ч,1 руб,1035 руб
Контроль после отмывки,74 c,31 ч,27 руб,40217 руб
Ручная лакировка,12 с,5 ч,4 руб,5175 руб
Разделение,16 c,8 ч,9 руб,12064 руб
Cебестоимость,217 с,90 ч,156 руб,221592 руб
Cебестоимость с подготовкой производства,217 с,90 ч,160 руб,228492 руб
Итого с подготовкой производства без НДС,217 с,90 ч,208 руб,297039 руб
Итого с подготовкой производства,217 с,90 ч,249 руб,356446 руб
