Designator,Layer,Name,Designators (BOM)
TDR1,Top,6060A0041101,-
TDR2,Top,RC0402FR-070RL,R65
TDR4,Top,TPS2553DDBVR,"U3,U4"
TDR5,Top,2N7002DW-7-F,"Q8,Q10,Q11,Q12,Q17,Q18"
TDR3,Top,"PCA9557PW,118",U14
TDR6,Top,LM393ADRE4,U16
DTL1,Top,TLA2024IRUGR,U13
DTL2,Top,RC0402FR-07100RL,"R144,R145"
DTL3,Top,TPS259250DRCR,"U10,U11"
DTL4,Top,TPS259260DRCR,"U5,U6"
DTL5,Bot,LCMXO2-1200HC-4TG100C,U7
DTL6,Bot,RTT028201FTH,"R147,R153,R162,R164"
DTL7,Bot,RM04FTN2202,"R148,R154,R161,R163"
DTL8,Bot,RTT022001FTH,"R166,R168,R170,R172,R178,R179"
MH1,Top,CC0402KRX7R7BB104;C1005X7R1C104KT;CL05B104KO5NNNC;0402B104K160CT;EMK105B7104KV-F;GRM155R71C104KA88D,"C5,C7,C9,C23,C24,C25,C26,C31,C32,C37,C38,C39,C40,C41,C42,C43,C48,C50,C52,C63,C64,C65,C66,C67,C68,C70,C83"
MH2,Top,G846A16211T4EU,J9
J11,Top,LG-192DGM-CT/S1-A01,"CR3,CR6,CR7"
C84,Bot,51833-0074D-001,"J3,J10"
C85,Bot,6050A3181701,-
U16,Top,CC0402KRX7R7BB103;C1005X7R103KET;GRM155R71C103KA01D;CL05B103KO5NNNC;0402B103K160CT;0402B103K160CG;CC0402KPX7R7BB103;VJ0402Y103KXJAC;C0402C103K4RACTU,"C11,C12,C27,C28,C29,C30,C35,C36,C54,C55"
C82,Top,RM06FTN3161;RTT033161FTP,"R205,R206,R215,R216"
R230,Bot,RC0603FR072K;232270462002L;RM06FTN2001;RTT032001FTP,R233
R231,Bot,232270462202L;RM06FTN2201;RTT032201FTP,"R202,R203,R204,R212,R213,R214"
R229,Bot,RC0603FR071K87;RM06FTN1871;232270461872L;RTT031871FTP,"R199,R200,R201,R209,R210,R211"
R236,Bot,RTX031202BETP,R227
R237,Bot,19-217/R6C-AK2M1AX/3T(SHA-2),"CR2,CR5"
R227,Bot,PSAS4F4130011TR,"J6,J12"
R233,Bot,PI3C3305LEX,U15
R228,Bot,C1608X7R1E104K;CC0603KRX7R8BB104;C1608X7R104KFT;0603B104K250CT;CL10B104KA8NNNC;GRM188R71E104KA01D;C0603C104K3RACTU;VJ0603Y104KXXAC,"C75,C80,C81"
U17,Top,53398-0671,J8
U10,Bot,GRM32EC81C476ME15L;EMK325AC6476MM-P,"C71,C72,C76,C77"
U11,Bot,19-118/BHC-ZL1M2QY/3T(SHA-2),"CR1,CR4"
C75,Bot,6060B0561001,-
C80,Bot,GRM21BC81C226ME44L;EMK212BC6226MG-TT,"C10,C53"
C81,Bot,PSL060-3847-T01-1H,"J4,J5"
C71,Top,C2012X6S1C106KT000E;EMK212C6106KG-T;GRM21BC81C106KE15L;CL21X106KOQNNNE,"C59,C60,C69,C73,C78"
C72,Top,TL431ACDBVRG4,U17
C76,Top,RTT023001FTH;RM04FTN3001;232270673002L,R169
C77,Top,RTX022002DETH;RB04DTS2002;RR0510Q-203-DNH;AR02DTD2002,"R236,R237"
Q17,Bot,RM04JTN0;RTT02000JTH;232270591001L;RC0402JR-130RL;RTT02000JH5;RM04JLN0,"R70,R71,R113,R114,R115,R116,R122,R123,R124,R125,R126,R127,R146,R149,R150,R180,R181,R193,R196,R197,R225,R226,R232,R241,R242,R243,R262,R263"
Q18,Bot,RTX039761BETP;239040449762L;RB06BTR9761,R228
Q12,Bot,232270673001L;RM04FTN3000;RTT023000FTH,"R19,R20,R140,R141,R151,R157"
Q8,Bot,RM04FTN2003;RTT022003FTH;232270672004L;RR0510S-204-FNH,R229
Q10,Bot,RM04FTN33R0;RTT0233R0FTH;232270673309L;RC0402FR-1333RL;RTT0233R0FH5;RM04FLN33R0,"R173,R174"
Q11,Bot,RTT021301FTH;RM04FTN1301;232270671302L,R171
R199,Bot,RM04FTN1303;RTT021303FTH;232270671304L;RR0510S-134-FNH,"R39,R41"
R200,Bot,RTT021002FTH;RM04FTN1002;232270671003L;RC0402FR-1310KL;RTT021002FH5;RM04FLN1002,"R14,R43,R44,R138,R158,R177,R194,R195,R264"
R201,Bot,232270671274L;RM04FTN1273,"R45,R46,R224"
R209,Bot,RTT021003FTH;RM04FTN1003;232270671004L;RTT021003FH5;RC0402FR-13100KL;RM04FLN1003,"R51,R52"
R210,Bot,232270671001L;RM04FTN1000;RTT021000FTH;RTT021000FH5;RC0402FR-13100RL;RM04FLN1000,"R230,R231"
R211,Bot,232270674702L;RM04FTN4701;RTT024701FTH;RC0402FR-134K7L;RTT024701FH5;RM04FLN4701,"R8,R16,R17,R37,R38,R40,R42,R66,R67,R68,R69,R77,R78,R108,R109,R117,R131,R132,R159,R160,R176,R183,R184,R185,R186,R187,R188,R189,R190,R191,R192,R218,R219,R220,R221,R234,R235,R244,R245,R246,R247,R248,R249,R250,R251,R257,R258"
R202,Bot,232273462208L;RTT052R20FTP;RM10FTN2R20,"R21,R22,R142,R143"
R203,Bot,RTT021001FTH;RM04FTN1001;232270671002L;RC0402FR-131KL;RTT021001FH5;RM04FLN1001;RC0402FR-071KL,"R10,R11,R12,R134,R135,R136,R165,R167,R223"
R204,Bot,85205-0500N,J1
R212,Bot,APXJ160ARA271MF80G,C82
R213,Bot,GRM188C81C475KE11D;CL10X475KO8NQNC;EMK107BC6475KA-T,C85
R214,Bot,C2012X6S0J226M*;GRM21BC80J226ME51L;CL21X226MQQNNNE;JDK212AC6226MG-T,"C8,C51,C57,C58"
R205,Bot,C1608X6S0J106M;JMK107BC6106MA-T;CL10X106MQ8NNNC,"C6,C49,C61,C62"
R206,Bot,GRM188R61C105KA12D;C1608X5R1C105KT000N;EMK107BJ105KA-T;CL10A105KO8NNNC;CC0603KRX5R7BB105;C1608X5R105KETS,"C44,C45,C74,C79"
R215,Bot,G874D042202TEU,J11
R216,Bot,LP-12,-
J1,Top,,
J8,Top,,
U9,Top,,
J9,Top,,
U15,Bot,,
C1,Bot,,
C11,Bot,,
C12,Bot,,
C27,Bot,,
C28,Bot,,
C29,Bot,,
C30,Bot,,
C35,Bot,,
C36,Bot,,
C54,Bot,,
C55,Bot,,
C83,Top,,
C70,Top,,
C5,Bot,,
C7,Bot,,
C9,Bot,,
C23,Top,,
C24,Top,,
C25,Bot,,
C26,Bot,,
C31,Bot,,
C32,Bot,,
C37,Bot,,
C38,Bot,,
C39,Bot,,
C40,Bot,,
C41,Bot,,
C42,Bot,,
C43,Top,,
C46,Top,,
C47,Bot,,
C48,Bot,,
C50,Bot,,
C52,Bot,,
C63,Bot,,
C64,Bot,,
C65,Bot,,
C66,Bot,,
C67,Bot,,
C68,Bot,,
C6,Bot,,
C49,Bot,,
C61,Bot,,
C62,Bot,,
C74,Bot,,
C79,Bot,,
C44,Bot,,
C45,Bot,,
C69,Top,,
C73,Top,,
C78,Top,,
C59,Top,,
C60,Top,,
C10,Top,,
C53,Top,,
C8,Top,,
C51,Top,,
C57,Top,,
C58,Top,,
U8,Bot,,
J6,Top,,
J12,Top,,
U7,Top,,
CR1,Top,,
CR4,Top,,
CR3,Top,,
CR6,Top,,
CR7,Top,,
CR2,Top,,
CR5,Top,,
U14,Bot,,
R65,Bot,,
R265,Bot,,
R266,Bot,,
R252,Bot,,
R253,Bot,,
R254,Bot,,
R255,Bot,,
R260,Bot,,
R261,Bot,,
R262,Bot,,
R263,Bot,,
R241,Bot,,
R242,Bot,,
R243,Bot,,
R232,Bot,,
R225,Bot,,
R226,Bot,,
R222,Top,,
R70,Bot,,
R71,Bot,,
R103,Top,,
R104,Top,,
R105,Bot,,
R106,Bot,,
R113,Bot,,
R114,Bot,,
R115,Bot,,
R116,Bot,,
R122,Bot,,
R123,Bot,,
R124,Bot,,
R125,Bot,,
R126,Bot,,
R127,Bot,,
R146,Bot,,
R149,Bot,,
R150,Bot,,
R180,Bot,,
R181,Bot,,
R193,Bot,,
R196,Bot,,
R197,Bot,,
R198,Bot,,
R171,Bot,,
R144,Bot,,
R145,Bot,,
R51,Bot,,
R52,Bot,,
R264,Top,,
R14,Bot,,
R43,Bot,,
R44,Top,,
R100,Bot,,
R138,Bot,,
R158,Top,,
R177,Bot,,
R194,Bot,,
R195,Bot,,
R224,Bot,,
R45,Top,,
R46,Bot,,
R39,Bot,,
R41,Top,,
R223,Top,,
R10,Bot,,
R11,Bot,,
R12,Bot,,
R13,Top,,
R102,Top,,
R134,Bot,,
R135,Bot,,
R136,Bot,,
R137,Top,,
R165,Bot,,
R167,Bot,,
R148,Bot,,
R154,Bot,,
R161,Bot,,
R163,Bot,,
R166,Bot,,
R168,Bot,,
R170,Bot,,
R172,Bot,,
R178,Bot,,
