Designator,Layer,Name,Designators (BOM)
VD1,Top,BHC-CR123A-1P-SMT,BAT1
VD9,Top,CAP0603_100n_50v_X7R_10%,"C1, C2, C3, C5"
VD8,Top,CAP0805_22u_25v_X5R_20%,"C4, C6"
R14,Top,TCAP_D_470u_6V3,C8
R13,Top,AT32F421F8P7,DD1
VT3,Top,HJR-3FF-3VDC-S-Z,"K2, K4"
VT2,Top,RES0603_10K_75v_5%,"R1, R2, R3, R13, R14"
VT1,Top,RES0603_100K_75v_1%,R4
VD7,Top,RES0603_1K_75v_5%,"R5, R7, R8, R9, R10"
VD6,Top,RES0603_51K_75v_1%,R6
VD5,Top,RES0603_100R_75v_5%,"R11, R12"
VD4,Top,ПКн61,SW1
VD3,Top,LD1085D2T33R,U1
VD2,Top,PMEG4010BEA.115,"VD1, VD2, VD8, VD9"
U2,Top,KPT-1608SURCK,VD3
U1,Top,KPT-1608SECK,VD4
SW1,Bot,KPT-1608VBC-D,VD5
R12,Top,FYLS-0603UWC,VD6
R11,Top,KP-1608CGCK,VD7
R10,Top,IRLML2803TRPBF,"VT1, VT2"
R9,Top,20N06,VT3
R8,Top,,
R7,Top,,
R6,Top,,
R5,Top,,
R4,Top,,
R3,Top,,
R2,Top,,
R1,Top,,
K4,Bot,,
K2,Bot,,
DD1,Top,,
C8,Top,,
C6,Top,,
C5,Top,,
C4,Top,,
C3,Top,,
C2,Top,,
C1,Top,,
BAT1,Top,,
