Наименование,Стоимость,Длина,Ширина,Высота,Количество
Короб №1,194.05,380,285,220,10
Короб №2,117.5,585,400,310,12
Короб №3,407,578,377,420,10
Короб №4 вариант 1,565.9,585,400,530,8
Короб №4 вариант 2,348.82,589,390,570,6
Короб №5,57.98,380,285,380,1
Короб №6,98.80,580,380,380,1
Короб №7,28.02,380,285,180,1
Плёнка ВПП розовая ESD,49,10000,1200,2
Экранирующая ESD плёнка,180,25000,1300,0.2
Жгут депфирующий д30мм,6.83,3000,30,50
Жгут депфирующий д50мм,15.83,3000,50,50
Жгут депфирующий д20мм,15.83,3000,20,50
