Текст операции,Базовое количество,Рабочее место,Ключ операции,Время наладки,"ЕИ вр.наладки (H — часы, MIN — минуты, S — секунды)",Вид работ — наладка,Машинное время (время работы),"ЕИ вр.работы (H — часы, MIN — минуты, S — секунды)",Вид работ ,Обязательное перекрытие (X),Мин.время перекрытия,Мин.кол-во передачи,Обязательное разделение,ЕИ мин.времени обработки,Мин.время обработки,Макс.время пролёживания,ЕИ макс.времени пролёживания
Комплектование SMT,1,P5LO01,PP01,,H,P5LO01,0,S,P5LO01,,,,,,,,
Автоматический поверхностный монтаж SMT Pri,,P5AU01,PP01,,H,P5AU20,,S,P5AU01,,,,,,,,
Автоматический поверхностный монтаж SMT Sec,,P5AU01,PP01,,H,P5AU20,,S,P5AU01,,,,,,,,
Ремонт после SMT,,P5RM10,PP01,600,S,P5RM10,,S,P5RM10,,,,,,,,
Контроль после SMT,,P5ОК01,PP01,600,S,P5ОК01,,S,P5ОК01,,,,,,,,
Рентген-контроль,,P5AU09,PP01,600,S,P5AU09,,S,P5AU09,,,,,,,,
Комплектование THT,1,P5LO01,PP01,,H,P5LO01,0,S,P5LO01,,,,,,,,
Набивка компонентов Pri,,P5UT12,PP01,,S,P5UT12,,S,P5UT12,,,,,,,,
Селективная пайка THT Pri,,P5AU14,PP01,,H,P5AU22,,S,P5AU14,,,,,,,,
Набивка компонентов Sec,,P5UT12,PP01,,S,P5UT12,,S,P5UT12,,,,,,,,
Селективная пайка THT Sec,,P5AU14,PP01,,S,P5AU22,,S,P5AU14,,,,,,,,
Ремонт после THT,,P5RM10,PP01,,S,P5RM10,,S,P5RM10,,,,,,,,
Контроль после THT,,P5ОК01,PP01,,S,P5ОК01,,S,P5ОК01,,,,,,,,
Набивка компонентов волна,,P5UT12,PP01,,S,P5UT12,,S,P5UT12,,,,,,,,
Волновая пайка,,P5AU17,PP01,,H,P5AU21,,S,P5AU17,,,,,,,,
Ремонт на волновой пайке,,P5RM10,PP01,,S,P5RM10,,S,P5RM10,,,,,,,,
Контроль на волновой пайке,,P5ОК01,PP01,,S,P5ОК01,,S,P5ОК01,,,,,,,,
Ручная пайка,1,P5RM01,PP01,600,S,P5RM01,,S,P5RM01,,,,,,,,
Отмывка,1,P5AU06,PP01,600,S,P5AU06,,S,P5AU06,,,,,,,,
ICT,1,P5AU10,PP01,600,S,P5AU10,,S,P5AU10,,,,,,,,
Разделение,,P5UR01,PP01,600,S,P5UR01,,S,P5UR01,,,,,,,,
Доп операции,1,-,PP01,600,S,-,,S,-,,,,,,,,
Тестирование,1,P5UT14,PP01,600,S,P5UT14,,S,P5UT14,,,,,,,,
Влагозащита,1,P5UT02,PP01,600,S,P5UT02,,S,P5UT02,,,,,,,,
Селективная влагозащита HRL,,P5AU16,PP01,600,S,P5AU16,,S,P5AU16,,,,,,,,
Выходной контроль,1,P5ОК02,PP01,,S,P5ОК02,,S,P5ОК02,,,,,,,,
Отгрузка,1,P5LO02,PP03,,S,P5LO02,,S,P5LO02,,,,,,,,
